PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Heo, JS; Choi, Y; Kim, HS; Kim, HO				Heo, June Seok; Choi, Youjeong; Kim, Han-Soo; Kim, Hyun Ok			Comparison of molecular profiles of human mesenchymal stem cells derived from bone marrow, umbilical cord blood, placenta and adipose tissue	INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE												Mesenchymal stem cells (MSCs) are clinically useful due to their capacity for self-renewal, their immunomodulatory properties and tissue regenerative potential. These cells can be isolated from various tissues and exhibit different potential for clinical applications according to their origin, and thus comparative studies on MSCs from different tissues are essential. In this study, we investigated the immunophenotype, proliferative potential, multilineage differentiation and immunomodulatory capacity of MSCs derived from different tissue sources, namely bone marrow, adipose tissue, the placenta and umbilical cord blood. The gene expression profiles of stemness-related genes [octamer-binding transcription factor 4 (OCT4), sex determining region Y-box (SOX)2, MYC, Kruppel-like factor 4 (KLF4), NANOG, LIN28 and REX1] and lineage-related and differentiation stage-related genes [B4GALNT1 (GM2/GS2 synthase), inhibin, beta A (INHBA), distal-less homeobox 5 (DLX5), runt-related transcription factor 2 (RUNX2), proliferator-activated receptor gamma (PPARG), CCAAT/enhancer-binding protein alpha (C/EBPA), bone morphogenetic protein 7 (BMP7) and SOX9] were compared using RT-PCR. No significant differences in growth rate, colony-forming efficiency and immunophenotype were observed. Our results demonstrated that MSCs derived from bone marrow and adipose tissue shared not only in vitro tri-lineage differentiation potential, but also gene expression profiles. While there was considerable inter-donor variation in DLX5 expression between MSCs derived from different tissues, its expression appears to be associated with the osteogenic potential of MSCs. Bone marrow-derived MSCs (BM-MSCs) significantly inhibited allogeneic T cell proliferation possibly via the high levels of the immunosuppressive cytokines, IL10 and TGFB1. Although MSCs derived from different tissues and fibroblasts share many characteristics, some of the marker genes, such as B4GALNT1 and DLX5 may be useful for the characterization of MSCs derived from different tissue sources. Collectively, our results suggest that, based on their tri-lineage differentiation potential and immunomodulatory effects, BM-MSCs and adipose tissue-derived MSCs (A-MSCs) represent the optimal stem cell source for tissue engineering and regenerative medicine.					Kim, Hyun Ok/0000-0002-4964-1963												1107-3756	1791-244X				JAN	2016	37	1					115	125		10.3892/ijmm.2015.2413							WOS:000367867000014	26719857					
J	Fotia, C; Massa, A; Boriani, F; Baldini, N; Granchi, D				Fotia, Caterina; Massa, Annamaria; Boriani, Filippo; Baldini, Nicola; Granchi, Donatella			Hypoxia enhances proliferation and stemness of human adipose-derived mesenchymal stem cells	CYTOTECHNOLOGY												The aim of the study was to obtain the highest number of multipotent adipose-derived mesenchymal stem cells (ADMSCs) by using culture conditions which favour cell expansion without loss of mesenchymal stem cells (MSC)-like properties. Based on the assumption that stem cells reside in niches characterized by hypoxic condition, we investigated if the low oxygen tension may improve the proliferation and stemness of ADMSCs. Intact adipose tissue was resected from eight subjects, and the stromal vascular fraction was obtained by using type II collagenase. The heterogeneity of cellular lineages was confirmed by immunophenotypic analysis that showed the presence of leukocytes (CD45+), endothelial cells (CD34+), and pericytes (CD140+). The immunophenotype of confluent ADMSCs was similar to that of bone marrow-derived MSCs, except for the expression of CD34, which was variable (donor-dependent) and inversely correlated to the CD36 expression. ADMSCs showed a high clonal efficiency (94.5 +/- A 1 %) and were able to generate osteoblastic, chondrocytic and adipocytic lineages. ADMSCs were cultured under normoxic (21 % O-2) and hypoxic (1 % O-2) conditions, and we found that hypoxia significantly favoured ADMSC proliferation and preserved the expression of stemness genes, i.e. Nanog and Sox2. Since hypoxia reflects the microenvironment in which ADMSCs must proliferate and differentiate, the culture in hypoxic condition allows to better understand the biology of these cells and their regenerative potential. Low oxygen concentrations promote cell proliferation and stemness, thus enriching the pool of cells potentially able to differentiate into multi-lineages, and extending the possibility of a long-term expansion.				Granchi, Donatella/J-3647-2016; Massa, Annamaria/AAB-9872-2019; Granchi, Donatella/ABD-5402-2021; Baldini, Nicola/J-4806-2016	Granchi, Donatella/0000-0001-7225-0023; Massa, Annamaria/0000-0002-8156-3037; Baldini, Nicola/0000-0003-2228-3833; Boriani, Filippo/0000-0002-7739-9801												0920-9069	1573-0778				DEC	2015	67	6					1073	1084		10.1007/s10616-014-9731-2							WOS:000364225200018	24798810					
J	Mabuchi, Y; Morikawa, S; Harada, S; Niibe, K; Suzuki, S; Renault-Mihara, F; Houlihan, DD; Akazawa, C; Okano, H; Matsuzaki, Y				Mabuchi, Yo; Morikawa, Satoru; Harada, Seiko; Niibe, Kunimichi; Suzuki, Sadafumi; Renault-Mihara, Francois; Houlihan, Diarmaid D.; Akazawa, Chihiro; Okano, Hideyuki; Matsuzaki, Yumi			LNGFR(+)THY-1(+)VCAM-1(hi+) Cells Reveal Functionally Distinct Subpopulations in Mesenchymal Stem Cells	STEM CELL REPORTS												Human mesenchymal stem cells (hMSCs), which conventionally are isolated based on their adherence to plastic, are heterogeneous and have poor growth and differentiation, limiting our ability to investigate their intrinsic characteristics. We report an improved prospective clonal isolation technique and reveal that the combination of three cell-surface markers (LNGFR, THY-1, and VCAM-1) allows for the selection of highly enriched clonogenic cells (one out of three isolated cells). Clonal characterization of LNGFR(+)THY-1(+) cells demonstrated cellular heterogeneity among the clones. Rapidly expanding clones (RECs) exhibited robust multilineage differentiation and self-renewal potency, whereas the other clones tended to acquire cellular senescence via P16INK4a and exhibited frequent genomic errors. Furthermore, RECs exhibited unique expression of VCAM-1 and higher cellular motility compared with the other clones. The combination marker LNGFR(+)THY-1(+)VCAM-1(hi+) (LTV) can be used selectively to isolate the most potent and genetically stable MSCs.				Mabuchi, Yo/L-1535-2013; , Renault-Mihara/L-3320-2013	Mabuchi, Yo/0000-0001-8008-3966; Matsuzaki, Yumi/0000-0002-3729-2997; Morikawa, Satoru/0000-0001-8859-2888												2213-6711					AUG 6	2013	1	2					152	165		10.1016/j.stemcr.2013.06.001							WOS:000336632600005	24052950					
J	Wang, Y; He, J; Pei, XH; Zhao, WH				Wang, Yan; He, Juan; Pei, Xiaohua; Zhao, Weihong			Systematic review and meta-analysis of mesenchymal stem/stromal cells therapy for impaired renal function in small animal models	NEPHROLOGY												Aim The meta-analysis of recent small animal experiments of mesenchymal stem/stromal cells (MSC) therapy for impaired kidney could provide significant clues to design large animal experiments as well as human clinical trials. Method A total of 21 studies was analyzed. These, were indexed from PubMed and Embase databases. All data were analyzed by RevMan 5.1 and SPSS 17.0. Pooled analysis and multivariable meta-regression were calculated by random effects models. Heterogeneity and publication bias across the studies were also explored. Results Pooled analysis showed elevated serum creatinine (Scr) reduction in the animal models of renal failure following MSC therapy. By exploratory multivariable meta-regression, significant influence factors of Scr reduction were the time point of Scr measurement (early measurement showed greater reduction than the late (P=0.005)) and the route of MSC delivery (arterial delivery of MSCs caused greater reduction in elevated Scr, when compared with the intra-renal delivery and intravenous injection (P=0.040)). Subgroup analysis showed there tended to be greater reduction in Scr with higher MSC number (>106), the renal ischemia-reperfusion injury (IRI) model, and late administration (>1 day) after injury. Conclusion The present meta-analysis confirmed that MSC therapy could improve impaired renal function. MSCs might get obvious effect in the early stage of renal injuries after arterial delivery. Further, this meta-analysis may provide important clues for animal experiments even for human clinical trials in MSC studies.					Wang, Yan/0000-0002-6552-6893												1320-5358	1440-1797				MAR	2013	18	3					201	208		10.1111/nep.12018							WOS:000315405600009	23217027					
J	Nakano, I				Nakano, Ichiro			Stem cell signature in glioblastoma: therapeutic development for a moving target	JOURNAL OF NEUROSURGERY												Tumor heterogeneity of adult high-grade glioma (HGG) is recognized in 3 major subtypes based on core gene signatures. However, the molecular signatures and clinical implications of glioma stem cells (GSCs) in individual HGG subtypes remain poorly characterized. Recently genome-wide transcriptional analysis identified two mutually exclusive GSC subtypes with distinct dysregulated signaling and metabolic pathways. Analysis of genetic profiles and phenotypic assays distinguished proneural (PN) from mesenchymal (MES) GSCs and revealed a striking correlation with the corresponding PN or MES HGGs. Similar to HGGs with a MES signature, MES GSCs display more aggressive phenotypes both in vitro and in vivo. Furthermore, MES GSCs are markedly resistant to radiation as compared with PN GSCs, consistent with the relative radiation resistance of MES GBM compared with other subtypes. A systems biology approach has identified a set of transcription factors as the master regulators for the MES signature. Metabolic-reprogramming in MES GSCs has also been noticed with the prominent activation of the glycolytic pathway, comprising aldehyde dehydrogenase (ALDH) family genes. This review summarizes recent progress in the characterization of the molecular signature in distinct HGG and GSC subtypes and plasticity between different GSC subtypes as well as between GSCs and non-GSCs in HGG tumors. Clinical implications of the translational GSC research are also discussed.				Nakano, Ichiro/AAR-9562-2020	Nakano, Ichiro/0000-0002-0916-3207												0022-3085	1933-0693				FEB	2015	122	2					324	330		10.3171/2014.9.JNS132253							WOS:000348408400013	25397368					
J	Akpinar, G; Kasap, M; Aksoy, A; Duruksu, G; Gacar, G; Karaoz, E				Akpinar, Gurler; Kasap, Murat; Aksoy, Ayca; Duruksu, Gokhan; Gacar, Gulcin; Karaoz, Erdal			Phenotypic and Proteomic Characteristics of Human Dental Pulp Derived Mesenchymal Stem Cells from a Natal, an Exfoliated Deciduous, and an Impacted Third Molar Tooth	STEM CELLS INTERNATIONAL												The level of heterogeneity among the isolated stem cells makes them less valuable for clinical use. The purpose of this study was to understand the level of heterogeneity among human dental pulp derived mesenchymal stem cells by using basic cell biology and proteomic approaches. The cells were isolated from a natal (NDPSCs), an exfoliated deciduous (stem cells from human exfoliated deciduous (SHED)), and an impacted third molar (DPSCs) tooth of three different donors. All three stem cells displayed similar features related to morphology, proliferation rates, expression of various cell surface markers, and differentiation potentials into adipocytes, osteocytes, and chondrocytes. Furthermore, using 2DE approach coupled with MALDI-TOF/TOF, we have generated a common 2DE profile for all three stem cells. We found that 62.3 +/- 7% of the protein spots were conserved among the three mesenchymal stem cell lines. Sixty-one of these conserved spots were identified by MALDI-TOF/TOF analysis. Classification of the identified proteins based on biological function revealed that structurally important proteins and proteins that are involved in protein folding machinery are predominantly expressed by all three stem cell lines. Some of these proteins may hold importance in understanding specific properties of human dental pulp derived mesenchymal stem cells.				Karaoz, Erdal/AAO-1470-2020; Akpinar, Gurler/F-7337-2018; Kasap, Murat/F-7339-2018; Gacar, Gulcin/A-8042-2016; Duruksu, Gokhan/F-7304-2018	Akpinar, Gurler/0000-0002-9675-3714; Kasap, Murat/0000-0001-8527-2096; Gacar, Gulcin/0000-0003-2960-6826; Duruksu, Gokhan/0000-0002-3830-2384												1687-966X	1687-9678					2014	2014								457059	10.1155/2014/457059							WOS:000344314300001	25379041					
J	Baer, PC; Koch, B; Hickmann, E; Schubert, R; Cinatl, J; Hauser, IA; Geiger, H				Baer, Patrick C.; Koch, Benjamin; Hickmann, Elena; Schubert, Ralf; Cinatl, Jindrich, Jr.; Hauser, Ingeborg A.; Geiger, Helmut			Isolation, Characterization, Differentiation and Immunomodulatory Capacity of Mesenchymal Stromal/Stem Cells from Human Perirenal Adipose Tissue	CELLS												Mesenchymal stromal/stem cells (MSCs) are immature multipotent cells, which represent a rare population in the perivascular niche within nearly all tissues. The most abundant source to isolate MSCs is adipose tissue. Currently, perirenal adipose tissue is rarely described as the source of MSCs. MSCs were isolated from perirenal adipose tissue (prASCs) from patients undergoing tumor nephrectomies, cultured and characterized by flow cytometry and their differentiation potential into adipocytes, chondrocytes, osteoblasts and epithelial cells. Furthermore, prASCs were stimulated with lipopolysaccharide (LPS), lipoteichoic acid (LTA) or a mixture of cytokines (cytomix). In addition, prASC susceptibility to human cytomegalovirus (HCMV) was investigated. The expression of inflammatory readouts was estimated by qPCR and immunoassay. HCMV infection was analyzed by qPCR and immunostaining. Characterization of cultured prASCs shows the cells meet the criteria of MSCs and prASCs can undergo trilineage differentiation. Cultured prASCs can be induced to differentiate into epithelial cells, shown by cytokeratin 18 expression. Stimulation of prASCs with LPS or cytomix suggests the cells are capable of initiating an inflammation-like response upon stimulation with LPS or cytokines, whereas, LTA did not induce a significant effect on the readouts (ICAM-1, IL-6, TNF alpha, MCP-1 mRNA and IL-6 protein). HCMV broadly infects prASCs, showing a viral load dependent cytopathological effect (CPE). Our current study summarizes the isolation and culture of prASCs, clearly characterizes the cells, and demonstrates their immunomodulatory potential and high permissiveness for HCMV.																		2073-4409				NOV	2019	8	11							1346	10.3390/cells8111346							WOS:000502266700044	31671899					
J	Jabbehdari, S; Yazdanpanah, G; Kanu, LN; Anwar, KN; Shen, X; Rabiee, B; Putra, I; Eslani, M; Rosenblatt, MI; Hematti, P; Djalilian, AR				Jabbehdari, Sayena; Yazdanpanah, Ghasem; Kanu, Levi N.; Anwar, Khandaker N.; Shen, Xiang; Rabiee, Behnam; Putra, Ilham; Eslani, Medi; Rosenblatt, Mark, I; Hematti, Peiman; Djalilian, Ali R.			Reproducible Derivation and Expansion of Corneal Mesenchymal Stromal Cells for Therapeutic Applications	TRANSLATIONAL VISION SCIENCE & TECHNOLOGY												Purpose: A reproducible protocol for the production of corneal mesenchymal stem/stromal cells (cMSCs) is necessary for potential clinical applications. We aimed to describe successful generation and expansion of cMSCs using an explant method. Methods: Corneoscleral rims of human cadaveric eyes were divided into four pieces and used as explants to allow outgrowth of cMSCs (passage 0, or PO). The cells were subcultured at a 1:10 ratio until passage 5 (P5). The characteristics as well as therapeutic effects of expanded cMSCs were evaluated both in vitro, using a scratch assay, and in vivo using epithelial debridement and chemical injury mouse models. Results: All explants demonstrated outgrowth of cells by 7 days. Although the initial outgrowth included mixed mesenchymal and epithelial cells, by P1 only cMSCs remained. By subculturing each flask at a ratio of 1:10, the potential yield from each cornea was approximately 12 to 16 x 10(10) P5 cells. P5 cMSCs demonstrated the cell surface markers of MSCs. The secretome of P5 cMSCs induced faster closure of wounds in an in vitro scratch assay. Subconjunctival injection of P5 cMSCs in mouse models of mechanical corneal epithelial debridement or ethanol injury led to significantly faster wound healing and decreased inflammation, relative to control. Conclusions: cMSCs can be reproducibly derived from human cadaveric corneas using an explant method and expanded with preservation of characteristics and corneal wound healing effects. Translational Relevance: The results of our study showed that cMSCs produced using this scheme can be potentially used for clinical applications.				Putra, Ilham/K-2925-2019	Putra, Ilham/0000-0002-1843-032X; Kanu, Levi/0000-0001-6428-4696												2164-2591					FEB	2020	9	3							26	10.1167/tvst.9.3.26							WOS:000519084200013	32742756					
J	Zhironkina, OA; Shipounova, IN; Bigildeev, AE; Sats, NV; Petinati, NA; Drize, NI				Zhironkina, O. A.; Shipounova, I. N.; Bigildeev, A. E.; Sats, N. V.; Petinati, N. A.; Drize, N. I.			Proliferative Potential of Multipotent Mesenchymal Stromal Cells from Human Bone Marrow	BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE												We studied the capacity of multipotent mesenchymal stromal cells isolated from human bone marrow (BM) to long-term passaging, cloning, and re-cloning. Initial multipotent mesenchymal stromal cells and cells after gene labeling were studied. Multipotent mesenchymal stromal cells were obtained from donors (13-59 years) and cultured for 7 passages. Third generation lentivector was used for delivery of green fluorescent protein marker gene. The procedure of infection revealed reduced proliferative potential of multipotent mesenchymal stromal cells from elder donors. Hierarchy of precursor cells differing by their proliferative potential was demonstrated in the culture of multipotent mesenchymal stromal cells. Three categories of multipotent mesenchymal stromal cells were identified: mature cells incapable of proliferation (75.7 +/- 2.4% population) and cells with low and high proliferative potential (17.6 +/- 2.1 and 6.7 +/- 0.3%, respectively). The relative content of these cells insignificantly differed from passage to passage. The efficiency of cloning also remains stable, but re-cloning capacity sharply decreased after passage 3 and completely disappeared in multipotent mesenchymal stromal cells after cryopreservation. Thus, cultured multipotent mesenchymal stromal cells represent a heterogeneous and hierarchically organized population and the characteristics of this population depend of the duration of culturing and age of BM donor. This should be taken into account when using multipotent mesenchymal stromal cells in clinical practice.				Petinati, Nataliya/AAI-9362-2020; Bigildeev, Alexey/M-7289-2014; Zhironkina, Oxana/ABF-1010-2020; Zhironkina, Oxana A/H-3121-2017; Shipounova, Irina N/B-2900-2015; Drize, Nina/M-7261-2014; SATS, Natalia/M-7285-2014	Petinati, Nataliya/0000-0001-6591-3183; Bigildeev, Alexey/0000-0003-0215-9085; Zhironkina, Oxana/0000-0003-1124-8653; Zhironkina, Oxana A/0000-0003-1124-8653; Shipounova, Irina N/0000-0003-1189-0283; Drize, Nina/0000-0002-7150-0403; SATS, Natalia/0000-0002-1559-9381												0007-4888	1573-8221				FEB	2012	152	4					543	547		10.1007/s10517-012-1571-5							WOS:000304136100037	22803129					
J	Wang, YY; Negri, S; Li, Z; Xu, JJ; Hsu, CY; Peault, B; Broderick, K; James, AW				Wang, Yiyun; Negri, Stefano; Li, Zhao; Xu, Jiajia; Hsu, Chingyun; Peault, Bruno; Broderick, Kristen; James, Aaron W.			Anti-DKK1 Enhances the Early Osteogenic Differentiation of Human Adipose-Derived Stem/Stromal Cells	STEM CELLS AND DEVELOPMENT												Adipose-derived stem/stromal cells (ASCs) have been previously used for bone repair. However, significant cell heterogeneity exists within the ASC population, which has the potential to result in unreliable bone tissue formation and/or low efficacy. Although the use of cell sorting to lower cell heterogeneity is one method to improve bone formation, this is a technically sophisticated and costly process. In this study, we tried to find a simpler and more deployable solution-blocking antiosteogenic molecule Dickkopf-1 (DKK1) to improve osteogenic differentiation. Human adipose-derived stem cells were derived from = 5 samples of human lipoaspirate. In vitro, anti-DKK1 treatment, but not anti-sclerostin (SOST), promoted ASC osteogenic differentiation, assessed by alizarin red staining and real-time polymerase chain reaction (qPCR). Increased canonical Wnt signaling was confirmed after anti-DKK1 treatment. Expression levels ofDKK1peaked during early osteogenic differentiation (day 3). Concordantly, anti-DKK1 supplemented early (day 3 or before), but not later (day 7) during osteogenic differentiation positively regulated osteoblast formation. Finally, anti-DKK1 led to increased transcript abundance of the Wnt inhibitor SOST, potentially representing a compensatory cellular mechanism. In sum, DKK1 represents a targetable "molecular brake" on the osteogenic differentiation of human ASC. Moreover, release of this brake by neutralizing anti-DKK1 antibody treatment at least partially rescues the poor bone-forming efficacy of ASC.				Negri, Stefano/AAH-1947-2020; xu, jiajia/AAL-9885-2020	Negri, Stefano/0000-0003-2218-6654; 												1547-3287	1557-8534				AUG 1	2020	29	15					1007	1015		10.1089/scd.2020.0070		JUN 2020					WOS:000544286300001	32460636					
J	Burns, JS; Kristiansen, M; Kristensen, LP; Larsen, KH; Nielsen, MO; Christiansen, H; Nehlin, J; Andersen, JS; Kassem, M				Burns, Jorge S.; Kristiansen, Malthe; Kristensen, Lars P.; Larsen, Kenneth H.; Nielsen, Maria O.; Christiansen, Helle; Nehlin, Jan; Andersen, Jens S.; Kassem, Moustapha			Decellularized Matrix from Tumorigenic Human Mesenchymal Stem Cells Promotes Neovascularization with Galectin-1 Dependent Endothelial Interaction	PLOS ONE												Background: Acquisition of a blood supply is fundamental for extensive tumor growth. We recently described vascular heterogeneity in tumours derived from cell clones of a human mesenchymal stem cell (hMSC) strain (hMSC-TERT20) immortalized by retroviral vector mediated human telomerase (hTERT) gene expression. Histological analysis showed that cells of the most vascularized tumorigenic clone, -BD11 had a pericyte-like alpha smooth muscle actin (ASMA+) and CD146+ positive phenotype. Upon serum withdrawal in culture, -BD11 cells formed cord-like structures mimicking capillary morphogenesis. In contrast, cells of the poorly tumorigenic clone, -BC8 did not stain for ASMA, tumours were less vascularized and serum withdrawal in culture led to cell death. By exploring the heterogeneity in hMSC-TERT20 clones we aimed to understand molecular mechanisms by which mesenchymal stem cells may promote neovascularization. Methodology/Principal Findings: Quantitative qRT-PCR analysis revealed similar mRNA levels for genes encoding the angiogenic cytokines VEGF and Angiopoietin-1 in both clones. However, clone-BD11 produced a denser extracellular matrix that supported stable ex vivo capillary morphogenesis of human endothelial cells and promoted in vivo neovascularization. Proteomic characterization of the -BD11 decellularized matrix identified 50 extracellular angiogenic proteins, including galectin-1. siRNA knock down of galectin-1 expression abrogated the ex vivo interaction between decellularized -BD11 matrix and endothelial cells. More stable shRNA knock down of galectin-1 expression did not prevent -BD11 tumorigenesis, but greatly reduced endothelial migration into -BD11 cell xenografts. Conclusions: Decellularized hMSC matrix had significant angiogenic potential with at least 50 angiogenic cell surface and extracellular proteins, implicated in attracting endothelial cells, their adhesion and activation to form tubular structures. hMSC -BD11 surface galectin-1 expression was required to bring about matrix-endothelial interactions and for xenografted hMSC -BD11 cells to optimally recruit host vasculature.				Kassem, Moustapha/O-3819-2019; Burns, Jorge/AAF-5291-2019; Nehlin, Jan O./AAR-8721-2020; Andersen, Jens S/L-2100-2015; Kassem, Moustapha/J-7688-2013; Burns, Jorge S./J-3395-2012	Kassem, Moustapha/0000-0003-1557-0869; Nehlin, Jan O./0000-0001-6038-5027; Andersen, Jens S/0000-0002-6091-140X; Kassem, Moustapha/0000-0003-1557-0869; Burns, Jorge S./0000-0002-8602-1536												1932-6203					JUL 11	2011	6	7							e21888	10.1371/journal.pone.0021888							WOS:000292680900014	21779348					
J	French, R; Hayward, O; Jones, S; Yang, W; Clarkson, R				French, Rhiannon; Hayward, Olivia; Jones, Samuel; Yang, William; Clarkson, Richard			Cytoplasmic levels of cFLIP determine a broad susceptibility of breast cancer stem/progenitor-like cells to TRAIL	MOLECULAR CANCER												Background: The clinical application of TRAIL receptor agonists as a novel cancer therapy has been tempered by heterogeneity in tumour responses. This is illustrated in breast cancer, where TRAIL is cytotoxic in cell lines of mesenchymal origin but refractory in lines with an epithelial-like phenotype. However, it is now evident that intra-tumour heterogeneity includes a minority subpopulation of tumour-initiating stem/progenitor-like cells (CSCs) that possess mesenchymal characteristics. We hypothesised therefore that TRAIL may target these phenotypically distinct CSC-like cells that are common to most - if not all - breast cancers, thus impacting on the source of malignancy in a much broader range of breast tumour subtypes than previously envisaged. Methods: We used colony formation, tumoursphere, flow cytometry and xenograft tumour initiation assays to observe the TRAIL sensitivity of CSC-like cells in a panel of two mesenchymal-like (TRAIL-sensitive) and four epithelial-like (TRAIL-resistant) breast cancer cell lines. Subcellular levels of the endogenous TRAIL inhibitor, cFLIP, were determined by western blot and immunofluorescence microscopy. The effect of the subcellular redistribution of cFLIP on TRAIL sensitivity and Wnt signalling was determined using cFLIP localisation mutants and the TOPFlash reporter assay respectively. Results: TRAIL universally suppressed the clonal expansion of stem/progenitors in all six of the breast cancer cell lines tested, irrespective of their phenotype or overall sensitivity to TRAIL. A concomitant reduction in tumour initiation was confirmed in the TRAIL-resistant epithelial cell line, MCF-7, following serial dilution xenotransplantation. Furthermore TRAIL sensitivity of breast CSCs was inversely proportional to the relative cytoplasmic levels of cFLIP while overexpression of cFLIP in the cytosol using subcellular localization mutants of cFLIP protected these cells from cytotoxicity. The accumulation of nuclear cFLIP on the other hand did not influence TRAIL cytotoxicity but instead promoted Wnt-dependent signalling. Conclusion: These data propose a novel role for TRAIL as a selective CSC agent with a broad specificity for both epithelial and mesenchymal breast tumour subtypes. Furthermore we identify a dual role for cFLIP in the maintenance of breast CSC viability, dependent upon its subcellular distribution.					Yang, William/0000-0002-6398-4508; clarkson, richard/0000-0001-7389-8673												1476-4598					DEC 15	2015	14								209	10.1186/s12943-015-0478-y							WOS:000366497400002	26667821					
J	Li, PF; Zhou, HW; Di, GH; Liu, J; Liu, Y; Wang, ZH; Sun, YX; Duan, HF; Sun, JZ				Li, Pengfei; Zhou, Hongwei; Di, Guohu; Liu, Jin; Liu, Yang; Wang, Zhihong; Sun, Yinxuan; Duan, Haifeng; Sun, Junzhong			Mesenchymal stem cell-conditioned medium promotes MDA-MB-231 cell migration and inhibits A549 cell migration by regulating insulin receptor and human epidermal growth factor receptor 3 phosphorylation	ONCOLOGY LETTERS												Various in vitro and in vivo studies have linked mesenchymal stem cells (MSCs) with cancer, but little is known about the effect of MSCs on tumor progression. The present study aimed to analyze the role of the MSCs from different tissues, consisting of human bone marrow, adipose and the umbilical cord tissues, and the heterogeneity of tumors in tumor progression. By collecting the culture supernatants of MSCs as MSC-conditioned media (CMs), the present study found that MSC-CM produces no significant effect on the proliferation of MDA-MB-231 and A549 tumor cells. The migration of MDA-MB-231 cells was enhanced upon incubation with MSC-CM, while that of A549 cells was inhibited. Furthermore, the phosphorylation of insulin receptors (IRs) was upregulated in MSC-CM-treated MDA-MB-231 cells, while in MSC-CM-treated A549 cells, the phosphorylation of human epidermal growth factor receptor 3 (Her3) was downregulated. Taken together, the findings suggest that the phosphorylation of IR and Her3 may contribute to the discrepant effects of MSC-CM on the migration of the 2 cell lines.					Di, Guohu/0000-0001-9940-730X												1792-1074	1792-1082				MAR	2017	13	3					1581	1586		10.3892/ol.2017.5641							WOS:000396998600085	28454294					
J	D'Andrea, FP; Safwat, A; Burns, JS; Kassem, M; Horsman, MR; Overgaard, J				D'Andrea, Filippo P.; Safwat, Akmal; Burns, Jorge S.; Kassem, Moustapha; Horsman, Michael R.; Overgaard, Jens			Tumour microenvironment and radiation response in sarcomas originating from tumourigenic human mesenchymal stem cells	INTERNATIONAL JOURNAL OF RADIATION BIOLOGY												Background : Resistance to radiation therapy remains a serious impediment to cancer therapy. We previously reported heterogeneity for clonogenic survival when testing in vitro radiation resistance among single-cell derived clones from a human mesenchymal cancer stem cell model (hMSC). Here we aimed to determine whether this heterogeneity persisted in tumours established from these clones, and whether the response to radiation treatment was principally governed by cell-intrinsic qualities or by factors pertaining to the tumour microenvironment, such as the degree of hypoxia and vascularization. Methods : Immune-deficient female mice were implanted on the backs with cells from one of the clones. The subsequent tumours were subjected to either radiation treatment or had the tumour microenvironment assayed, when they reached 400 mm(3). Radiation was given as a single fraction of 0-15 Gy and the degree of tumour control and time to three times the treatment volume were noted. Tumours used for the microenvironmental assay had intratumoral hypoxia measured by the Eppendorf oxygen electrode and pimonidazole staining, and the extent of vascularization determined by a microvasculature density assay using endothelial-specific staining. Results : All microenvironmental assays indicated a similar degree of hypoxia and vascularization for the selected clones. Nonetheless, the tumours responded differently to radiation treatment since the BB3 clone displayed tumour control at 5, 10 and 15 Gy, whereas tumour control was not seen below 15 Gy with the CE8 clone. Conclusion : For tumours that displayed similar degrees of oxygenation and vascularization, the clone-specific in vitro radiation resistance could predict the in vivo response to radiation treatment. These results favor the hypothesis that intrinsic genetic factors can govern radiation resistance in this cancer stem cell model.				Burns, Jorge S./J-3395-2012; Kassem, Moustapha/J-7688-2013; Kassem, Moustapha/O-3819-2019; Burns, Jorge/AAF-5291-2019	Burns, Jorge S./0000-0002-8602-1536; Kassem, Moustapha/0000-0003-1557-0869; Kassem, Moustapha/0000-0003-1557-0869; Horsman, Michael/0000-0003-1578-5691; Safwat, Akmal/0000-0002-6020-2320												0955-3002					JUN	2012	88	6					457	465		10.3109/09553002.2012.683509							WOS:000304719700002	22502876					
